 25763640274798, 25763649859538, 28075594.753305, 28075610.295911, 28075659.520603,28076078730593
 25790424266945, 25790435961738, 28102351.893783, 28102363.04894, 28102398.56884,28102789991014
 25806722789454, 25806730015549, 28118638.623374, 28118649.643427, 28118692.943848,28119079273783
 25821648894535, 25821658070525, 28133563.442517, 28133573.447258, 28133603.665959,28133998139279
 25835355690067, 25835363800120, 28147307.324876, 28147318.238419, 28147351.316807,28147760958046
 25850152890916, 25850165606074, 28162082.228796, 28162091.317911, 28162121.475987,28162491622170
 25865228121480, 25865239266586, 28177171.550195, 28177187.433738, 28177236.624941,28177644234565
 25877641855582, 25877655005948, 28189544.532677, 28189555.74747, 28189589.191119,28189971156366
 25891359154188, 25891372771689, 28203278.303681, 28203287.56988, 28203316.261601,28203702332213
 25905292185107, 25905305983129, 28217226.212883, 28217241.78653, 28217276.103044,28217667375895
