118,382,115,463,466,428,
139,378,466,487,475,448,
140,163,162,203,417,485,
116,143,470,231,464,420,
123,425,196,168,203,409,
119,166,160,419,458,211,
135,412,173,428,435,236,
389,390,156,155,227,507,
247,90,184,461,435,458,
119,378,141,465,478,452,
339,394,172,458,175,258,
360,130,159,380,185,487,
357,128,256,448,457,219,
126,172,382,118,481,206,
393,396,437,476,242,221,
384,159,403,455,441,485,
131,149,179,446,246,517,
329,148,447,188,154,195,
355,420,424,465,229,224,
71,342,379,179,491,270,
106,413,363,205,432,165,
129,151,155,424,468,251,
-21541,-19481,432,210,477,499,
110,385,169,456,213,502,
389,153,464,455,377,432,
335,386,164,210,406,176,
124,418,186,405,459,503,
387,430,416,437,188,232,
407,178,422,440,435,426,
102,403,443,444,432,503,
389,444,192,397,427,441,
223,426,469,453,501,233,
404,164,423,478,484,210,
376,150,192,405,215,345,
364,393,437,432,189,498,
412,416,277,400,479,212,
335,384,354,500,511,179,
347,149,191,207,260,239,
136,381,132,487,468,486,
144,154,433,224,184,519,
142,150,423,197,446,530,
403,152,437,199,462,444,
120,397,427,463,481,431,
350,438,442,416,496,273,
355,137,135,388,221,206,
145,171,433,469,482,254,
389,157,405,179,457,210,
103,381,332,402,502,449,
361,159,167,175,425,446,
368,163,412,372,454,489,
